Unnamed: 0
"Пахота зяби под мн тр
Отд 17 57/1999

Выкаш отц форм под/г
Отд 12 2/24

Прикат под оз ячмень
По Пу 60/458
Отд 11 60/60"
"ПУ «ЮГ» 2.03

Выравнивание зяби под сах св
По ПУ 105/2527
Отделение 11 30/674
Отделение 17 75/588

Выравнивание зяби под кук/зерно 
По ПУ 40/571
Отделение 12 40/412

Выравнивание зяби по кук/силос
По ПУ 62/232
Отделение 11 23/23
Отделение 17 39/39

Выравнивание зяби под сою 
По ПУ 72/354
Отделение 16 72/289

Сев овса 
По ПУ 5/5
Отделение 11 5/5

Прокатывание посевов овса 
По ПУ 5/5
Отделение 5/5

1-я Затравка мыш грызунов по озимым кол. ПУ""Юг"" -100/8804, ,12 человек

Отд 16-100/2194"
"Восход
Сев кук-121/228га
 22%
2-я подкормка оз пш-2200га, 100%
СЗР оз пш-182/454га, 21%
СЗР оз яч-97/168га
53%
Довсходовое боронование подсолнечника
175/464га, 89%"
"Вырав под сою
ПоПу 24/1481
Отд 11 24/712
Предп культ под сах св
ПоПу 369/2656
Отд 11 156/639
Отд 12 48/795
Отд 17 163/751
Сев сах св
ПоПу 355/2287
Отд 11 80/481
Отд 12 133/659
Отд 17 142/678"
"22.03 Внесение гербицидов по оз.рапсу ПУ""Юг""- 320/474
Отд 11-95/174
Отд 12-150/150
Отд 16-75/150"
"Подкормка Кас-32 по оз.пшенице ПУ""Юг""- 400/562
Отд 12-241/241
Отд 16-159/321"
"Выравн под сою
По Пу 16/1497
Отд 11 16/728
Предп культ под сах св
ПоПу 50/2706
Отд 11 50/689
Сев сах св
ПоПу 91/2378
Отд 11 21/502
Отд 12 45/704
Отд 17 25/703"
"23.03 Внесение гербицидов по оз.рапсу ПУ""Юг""- 71/545
Отд 11-71/245"
"Выравн зяби под сою
ПоПу 18/1515
Отд 11 18/746
Предп культ под сах св
ПоПу 175//2881
Отд 11 45/734
Отд 17 130/881
Сев сах св
ПоПу 333/2711
Отд 11 113/615
Отд 12 91/795
Отд 17 129/832
Предп культ под подсо
Отд 16 90/90"
"24.03 Внесение гербицидов по оз.рапсу ПУ""Юг""- 445/990
Отд 11-138/383
Отд 12-110/260
Отд 16-97/247
Отд 17-100/100"
"Уборка свеклы 27.10.день
Отд10-45/216
По ПУ 45/1569
Вал 1259680/6660630
Урожайность 279,9/308,3
По ПУ 1259680/41630600
На завод 1811630/6430580
По ПУ 1811630/41400550
Положено в кагат 399400
Вввезено с кагата 951340
Остаток 230060
Оз-9,04/12,58
Дигестия-14,50/15,05"
"Пахота под сах св
По Пу 77/518
Отд 12 46/298
Отд 16 21/143
Отд 17 10/17

Чизел под оз ячмень 
По Пу 22/640
Отд 11 22/242

Чизел под оз зел корм
Отд 11 40/40

Диск оз пшеницы
По Пу 28/8872
Отд 17 28/2097

2-е диск под сах св
По Пу 189/1763
Отд 11 60/209
Отд 12 122/540
Отд 17 7/172

Диск кук силос
По Пу 6/904
Отд 11 6/229

Прик под оз ячмень
По Пу 40/498
Отд 11 40/100

Уборка сои (семенной)
